Column1	Column2	Column3	Column4	Column5	Column6	Column7	Column8	Column9	Column10
Male	6/20/2023	25	Adolescent	Palestinian	Eli	West Bank	6/20/2023	LIVE AMMUNITION	Israeli civilians
Male	6/20/2023	21	Adolescent	Israeli	Eli	West Bank	6/20/2023	LIVE AMMUNITION	Palestinian civilians
Male	6/20/2023	18	Adolescent	Israeli	Eli	West Bank	6/20/2023	LIVE AMMUNITION	Palestinian civilians
Male	6/20/2023	64	Old	Israeli	Eli	West Bank	6/20/2023	LIVE AMMUNITION	Palestinian civilians
Male	6/19/2023	18	Adolescent	Palestinian	Jenin R.C.	West Bank	6/19/2023	LIVE AMMUNITION	Israeli security forces
Female	6/19/2023	14	Children	Palestinian	Jenin R.C.	West Bank	6/21/2023	LIVE AMMUNITION	Israeli security forces
Male	6/19/2023	19	Adolescent	Palestinian	Husan	West Bank	6/19/2023	LIVE AMMUNITION	Israeli security forces
Male	6/19/2023	48	Adolescent	Palestinian	Jenin R.C.	West Bank	6/20/2023	LIVE AMMUNITION	Israeli security forces
Male	6/19/2023	21	Adolescent	Palestinian	Jenin R.C.	West Bank	6/19/2023	LIVE AMMUNITION	Israeli security forces
Male	6/19/2023	19	Adolescent	Palestinian	Jenin R.C.	West Bank	6/19/2023	LIVE AMMUNITION	Israeli security forces
Male	6/19/2023	14	Children	Palestinian	Jenin R.C.	West Bank	6/19/2023	LIVE AMMUNITION	Israeli security forces
Male	6/19/2023	31	Adolescent	Palestinian	Jenin R.C.	West Bank	6/19/2023	LIVE AMMUNITION	Israeli security forces
Male	6/15/2023	19	Adolescent	Palestinian	Nablus	West Bank	6/15/2023	LIVE AMMUNITION	Israeli security forces
Male	6/13/2023	19	Adolescent	Palestinian	Balata R.C.	West Bank	6/13/2023	LIVE AMMUNITION	Israeli security forces
Male	6/9/2023	29	Adolescent	Palestinian	Rantis	West Bank	6/9/2023	LIVE AMMUNITION	Israeli security forces
Male	6/1/2023	2	Children	Palestinian	a-Nabi Saleh	West Bank	6/5/2023	LIVE AMMUNITION	Israeli security forces
Male	5/30/2023	32	Adolescent	Israeli	HerMaleesh	West Bank	5/30/2023	LIVE AMMUNITION	Palestinian civilians
Male	5/29/2023	38	Adolescent	Palestinian	Jenin	West Bank	5/29/2023	LIVE AMMUNITION	Israeli security forces
Male	5/26/2023	25	Adolescent	Palestinian	Tene	West Bank	5/26/2023	LIVE AMMUNITION	Israeli civilians
Male	5/22/2023	24	Adolescent	Palestinian	Balata R.C.	West Bank	5/22/2023	LIVE AMMUNITION	Israeli security forces
Male	5/22/2023	30	Adolescent	Palestinian	Balata R.C.	West Bank	5/22/2023	LIVE AMMUNITION	Israeli security forces
Male	5/22/2023	30	Adolescent	Palestinian	Balata R.C.	West Bank	5/22/2023	LIVE AMMUNITION	Israeli security forces
Male	5/15/2023	22	Adolescent	Palestinian	'Askar R.C.	West Bank	5/15/2023	LIVE AMMUNITION	Israeli security forces
Male	5/13/2023	19	Adolescent	Palestinian	Balata R.C.	West Bank	5/13/2023	LIVE AMMUNITION	Israeli security forces
Male	5/13/2023	32	Adolescent	Palestinian	Barta'ah a-Sharqiyah	West Bank	5/13/2023	LIVE AMMUNITION	Israeli security forces
Male	5/13/2023	32	Adolescent	Palestinian	Balata R.C.	West Bank	5/13/2023	LIVE AMMUNITION	Israeli security forces
Male	5/12/2023	51	Adolescent	Palestinian	Gaza City	Gaza Strip	5/12/2023	MISSILE	Israeli security forces
Male	5/12/2023	33	Adolescent	Palestinian	Gaza City	Gaza Strip	5/12/2023	MISSILE	Israeli security forces
Male	5/11/2023	49	Adolescent	Palestinian	Khan Yunis	Gaza Strip	5/11/2023	MISSILE	Israeli security forces
Male	5/11/2023	66	Old	Palestinian	Nur ShaMales R.C.	West Bank	5/11/2023	LIVE AMMUNITION	Israeli security forces
Male	5/11/2023	25	Adolescent	Palestinian	Khan Yunis	Gaza Strip	5/11/2023	MISSILE	Israeli security forces
Female	5/11/2023	82	Old	Israeli	Rehovot	Israel	5/11/2023	rocket	Palestinian civilians
Male	5/11/2023	43	Adolescent	Palestinian	Bani Suheila	Gaza Strip	5/11/2023	MISSILE	Israeli security forces
Male	5/11/2023	43	Adolescent	Palestinian	a-Nuseirat R.C.	Gaza Strip	5/11/2023	MISSILE	Israeli security forces
Male	5/11/2023	36	Adolescent	Palestinian	Jabalya R.C.	Gaza Strip	5/12/2023	MISSILE	Israeli security forces
Male	5/11/2023	21	Adolescent	Palestinian	Jabalya R.C.	Gaza Strip	5/11/2023	MISSILE	Israeli security forces
Male	5/11/2023	31	Adolescent	Palestinian	Gaza City	Gaza Strip	5/11/2023	MISSILE	Israeli security forces
Male	5/11/2023	23	Adolescent	Palestinian	Gaza City	Gaza Strip	5/11/2023	MISSILE	Israeli security forces
Male	5/11/2023	33	Adolescent	Palestinian	Khan Yunis	Gaza Strip	5/11/2023	MISSILE	Israeli security forces
Male	5/10/2023	24	Adolescent	Palestinian	Qabatiyah	West Bank	5/10/2023	LIVE AMMUNITION	Israeli security forces
Male	5/10/2023	25	Adolescent	Palestinian	'Abasan al-Kabirah	Gaza Strip	5/12/2023	MISSILE	Israeli security forces
Male	5/10/2023	28	Adolescent	Palestinian	'Abasan al-Kabirah	Gaza Strip	5/10/2023	MISSILE	Israeli security forces
Male	5/10/2023	23	Adolescent	Palestinian	Shokat a-Sufi	Gaza Strip	5/10/2023	MISSILE	Israeli security forces
Male	5/10/2023	26	Adolescent	Palestinian	Shokat a-Sufi	Gaza Strip	5/10/2023	MISSILE	Israeli security forces
Male	5/10/2023	18	Adolescent	Palestinian	Qabatiyah	West Bank	5/10/2023	LIVE AMMUNITION	Israeli security forces
Male	5/10/2023	30	Adolescent	Palestinian	Qabatiyah	West Bank	5/11/2023	LIVE AMMUNITION	Israeli security forces
Female	5/9/2023	17	Adolescent	Palestinian	Gaza City	Gaza Strip	5/9/2023	MISSILE	Israeli security forces
Male	5/9/2023	8	Children	Palestinian	Gaza City	Gaza Strip	5/9/2023	MISSILE	Israeli security forces
Male	5/9/2023	33	Adolescent	Palestinian	al-Qararah	Gaza Strip	5/9/2023	MISSILE	Israeli security forces
Male	5/9/2023	27	Adolescent	Palestinian	al-Qararah	Gaza Strip	5/9/2023	MISSILE	Israeli security forces
Male	5/9/2023	48	Adolescent	Palestinian	Gaza City	Gaza Strip	5/9/2023	MISSILE	Israeli security forces
Male	5/9/2023	52	Adolescent	Palestinian	Gaza City	Gaza Strip	5/9/2023	MISSILE	Israeli security forces
Male	5/9/2023	19	Adolescent	Palestinian	Gaza City	Gaza Strip	5/9/2023	MISSILE	Israeli security forces
Female	5/9/2023	44	Adolescent	Palestinian	Gaza City	Gaza Strip	5/9/2023	MISSILE	Israeli security forces
Female	5/9/2023	10	Children	Palestinian	Gaza City	Gaza Strip	5/9/2023	MISSILE	Israeli security forces
Male	5/9/2023	61	Old	Palestinian	Rafah	Gaza Strip	5/9/2023	MISSILE	Israeli security forces
Female	5/9/2023	4	Children	Palestinian	Gaza City	Gaza Strip	5/9/2023	MISSILE	Israeli security forces
Female	5/9/2023	61	Old	Palestinian	Rafah	Gaza Strip	5/9/2023	MISSILE	Israeli security forces
Female	5/9/2023	19	Adolescent	Palestinian	Gaza City	Gaza Strip	5/9/2023	MISSILE	Israeli security forces
Male	5/9/2023	44	Adolescent	Palestinian	Gaza City	Gaza Strip	5/9/2023	MISSILE	Israeli security forces
Female	5/9/2023	43	Adolescent	Palestinian	Gaza City	Gaza Strip	5/9/2023	MISSILE	Israeli security forces
Male	5/6/2023	20	Adolescent	Palestinian	TulkarMale R.C.	West Bank	5/6/2023	LIVE AMMUNITION	Israeli security forces
Male	5/6/2023	23	Adolescent	Palestinian	TulkarMale R.C.	West Bank	5/6/2023	LIVE AMMUNITION	Israeli security forces
Female	5/4/2023	26	Adolescent	Palestinian	Huwarah	West Bank	5/4/2023	LIVE AMMUNITION	Israeli security forces
Male	5/4/2023	35	Adolescent	Palestinian	Nablus	West Bank	5/4/2023	LIVE AMMUNITION	Israeli security forces
Male	5/4/2023	35	Adolescent	Palestinian	Nablus	West Bank	5/4/2023	LIVE AMMUNITION	Israeli security forces
Male	5/4/2023	45	Adolescent	Palestinian	Nablus	West Bank	5/4/2023	LIVE AMMUNITION	Israeli security forces
Male	5/2/2023	58	Adolescent	Palestinian	Gaza City	Gaza Strip	5/3/2023	MISSILE	Israeli security forces
Male	5/1/2023	17	Adolescent	Palestinian	'Aqbat Jaber R.C.	West Bank	5/1/2023	LIVE AMMUNITION	Israeli security forces
Male	4/28/2023	15	Children	Palestinian	Tekoa	West Bank	4/28/2023	LIVE AMMUNITION	Israeli security forces
Male	4/27/2023	39	Adolescent	Palestinian	Ari'el	West Bank	4/27/2023	LIVE AMMUNITION	Israeli security forces
Male	4/24/2023	21	Adolescent	Palestinian	'Aqbat Jaber R.C.	West Bank	4/24/2023	LIVE AMMUNITION	Israeli security forces
Male	4/11/2023	38	Adolescent	Palestinian	Elon Maleoreh	West Bank	4/11/2023	LIVE AMMUNITION	Israeli security forces
Male	4/11/2023	35	Adolescent	Palestinian	Elon Maleoreh	West Bank	4/11/2023	LIVE AMMUNITION	Israeli security forces
Male	4/10/2023	17	Adolescent	Palestinian	'Aqbat Jaber R.C.	West Bank	4/10/2023	LIVE AMMUNITION	Israeli security forces
Male	4/8/2023	19	Adolescent	Palestinian	'Azzun	West Bank	4/8/2023	LIVE AMMUNITION	Israeli security forces
Female	4/7/2023	16	Children	Israeli	HaMalera	West Bank	4/7/2023	LIVE AMMUNITION	Palestinian civilians
Female	4/7/2023	48	Adolescent	Israeli	HaMalera	West Bank	4/11/2023	LIVE AMMUNITION	Palestinian civilians
Female	4/7/2023	20	Adolescent	Israeli	HaMalera	West Bank	4/7/2023	LIVE AMMUNITION	Palestinian civilians
Male	4/3/2023	20	Adolescent	Palestinian	Nablus	West Bank	4/3/2023	LIVE AMMUNITION	Israeli security forces
Male	4/3/2023	42	Adolescent	Palestinian	Nablus	West Bank	4/3/2023	LIVE AMMUNITION	Israeli security forces
Male	4/1/2023	23	Adolescent	Palestinian	Beit UMaleMalear	West Bank	4/1/2023	LIVE AMMUNITION	Israeli security forces
Male	3/17/2023	22	Adolescent	Palestinian	al-Birah	West Bank	3/17/2023	LIVE AMMUNITION	Israeli security forces
Male	3/16/2023	29	Adolescent	Palestinian	Jenin	West Bank	3/16/2023	LIVE AMMUNITION	Israeli security forces
Male	3/16/2023	28	Adolescent	Palestinian	Jenin	West Bank	3/16/2023	LIVE AMMUNITION	Israeli security forces
Male	3/16/2023	35	Adolescent	Palestinian	Jenin	West Bank	3/16/2023	LIVE AMMUNITION	Israeli security forces
Male	3/16/2023	14	Children	Palestinian	Jenin	West Bank	3/16/2023	LIVE AMMUNITION	Israeli security forces
Male	3/12/2023	24	Adolescent	Palestinian	Sarra	West Bank	3/12/2023	LIVE AMMUNITION	Israeli security forces
Male	3/12/2023	22	Adolescent	Palestinian	Sarra	West Bank	3/12/2023	LIVE AMMUNITION	Israeli security forces
Male	3/12/2023	18	Adolescent	Palestinian	Sarra	West Bank	3/12/2023	LIVE AMMUNITION	Israeli security forces
Male	3/10/2023	21	Adolescent	Palestinian	Havat Dorot Ilit	West Bank	3/10/2023	LIVE AMMUNITION	Israeli civilians
Male	3/10/2023	14	Children	Palestinian	Qalqiliyah	West Bank	3/10/2023	LIVE AMMUNITION	Israeli security forces
Male	3/9/2023	32	Adolescent	Israeli	Tel Aviv-Yafo	Israel	3/20/2023	LIVE AMMUNITION	Palestinian civilians
Male	3/9/2023	29	Adolescent	Palestinian	Jaba'	West Bank	3/9/2023	LIVE AMMUNITION	Israeli security forces
Male	3/9/2023	23	Adolescent	Palestinian	Tel Aviv-Yafo	Israel	3/9/2023	LIVE AMMUNITION	Israeli security forces
Male	3/9/2023	22	Adolescent	Palestinian	Jaba'	West Bank	3/9/2023	LIVE AMMUNITION	Israeli security forces
Male	3/9/2023	25	Adolescent	Palestinian	Jaba'	West Bank	3/9/2023	LIVE AMMUNITION	Israeli security forces
Male	3/7/2023	21	Adolescent	Palestinian	Jenin R.C.	West Bank	3/7/2023	LIVE AMMUNITION	Israeli security forces
Male	3/7/2023	15	Children	Palestinian	Jenin	West Bank	3/9/2023	LIVE AMMUNITION	Israeli security forces
Male	3/7/2023	26	Adolescent	Palestinian	Jenin R.C.	West Bank	3/7/2023	LIVE AMMUNITION	Israeli security forces
Male	3/7/2023	27	Adolescent	Palestinian	Jenin R.C.	West Bank	3/7/2023	LIVE AMMUNITION	Israeli security forces
Male	3/7/2023	49	Adolescent	Palestinian	Jenin R.C.	West Bank	3/7/2023	LIVE AMMUNITION	Israeli security forces
Male	3/7/2023	31	Adolescent	Palestinian	Jenin R.C.	West Bank	3/7/2023	LIVE AMMUNITION	Israeli security forces
Male	3/7/2023	29	Adolescent	Palestinian	Jenin R.C.	West Bank	3/7/2023	LIVE AMMUNITION	Israeli security forces
Male	3/2/2023	17	Adolescent	Palestinian	'Azzun	West Bank	3/2/2023	LIVE AMMUNITION	Israeli security forces
Male	3/1/2023	21	Adolescent	Palestinian	'Aqbat Jaber R.C.	West Bank	3/1/2023	LIVE AMMUNITION	Israeli security forces
Male	2/27/2023	26	Adolescent	Israeli	Jericho	West Bank	2/27/2023	LIVE AMMUNITION	Palestinian civilians
Male	2/26/2023	20	Adolescent	Israeli	Huwarah	West Bank	2/26/2023	LIVE AMMUNITION	Palestinian civilians
Male	2/26/2023	22	Adolescent	Israeli	Huwarah	West Bank	2/26/2023	LIVE AMMUNITION	Palestinian civilians
Male	2/23/2023	20	Adolescent	Palestinian	al-'Arrub R.C.	West Bank	2/24/2023	LIVE AMMUNITION	Israeli security forces
Male	2/22/2023	28	Adolescent	Palestinian	Nablus	West Bank	3/28/2023	LIVE AMMUNITION	Israeli security forces
Male	2/22/2023	24	Adolescent	Palestinian	Nablus	West Bank	2/22/2023	LIVE AMMUNITION	Israeli security forces
Male	2/22/2023	25	Adolescent	Palestinian	Nablus	West Bank	2/22/2023	LIVE AMMUNITION	Israeli security forces
Male	2/22/2023	32	Adolescent	Palestinian	Nablus	West Bank	2/22/2023	LIVE AMMUNITION	Israeli security forces
Male	2/22/2023	22	Adolescent	Palestinian	Nablus	West Bank	2/22/2023	LIVE AMMUNITION	Israeli security forces
Male	2/22/2023	16	Children	Palestinian	Nablus	West Bank	2/22/2023	LIVE AMMUNITION	Israeli security forces
Male	2/22/2023	64	Old	Palestinian	Nablus	West Bank	2/22/2023	LIVE AMMUNITION	Israeli security forces
Male	2/22/2023	71	Old	Palestinian	Nablus	West Bank	2/22/2023	LIVE AMMUNITION	Israeli security forces
Male	2/14/2023	17	Adolescent	Palestinian	al-Far'ah R.C.	West Bank	2/14/2023	LIVE AMMUNITION	Israeli security forces
Male	2/13/2023	21	Adolescent	Palestinian	Nablus	West Bank	2/13/2023	LIVE AMMUNITION	Israeli security forces
Male	2/12/2023	29	Adolescent	Palestinian	Jenin R.C.	West Bank	2/23/2023	LIVE AMMUNITION	Israeli security forces
Male	2/12/2023	16	Children	Palestinian	Jenin R.C.	West Bank	2/12/2023	LIVE AMMUNITION	Israeli security forces
Male	2/11/2023	27	Adolescent	Palestinian	Qarawat Bani Hassan	West Bank	2/11/2023	LIVE AMMUNITION	Israeli civilians
Male	2/10/2023	31	Adolescent	Palestinian	RaMaleot Alon	West Bank	2/10/2023	LIVE AMMUNITION	Israeli security forces
Male	2/9/2023	19	Adolescent	Palestinian	al-Fawar R.C.	West Bank	2/9/2023	LIVE AMMUNITION	Israeli security forces
Male	2/8/2023	16	Children	Palestinian	Balata R.C.	West Bank	2/20/2023	LIVE AMMUNITION	Israeli security forces
Male	2/7/2023	16	Children	Palestinian	Nablus	West Bank	2/7/2023	LIVE AMMUNITION	Israeli security forces
Male	2/6/2023	22	Adolescent	Palestinian	'Aqbat Jaber R.C.	West Bank	2/6/2023	0.22-caliber bullets	Israeli security forces
Male	2/6/2023	21	Adolescent	Palestinian	'Aqbat Jaber R.C.	West Bank	2/6/2023	LIVE AMMUNITION	Israeli security forces
Male	2/6/2023	27	Adolescent	Palestinian	'Aqbat Jaber R.C.	West Bank	2/6/2023	LIVE AMMUNITION	Israeli security forces
Male	2/6/2023	22	Adolescent	Palestinian	'Aqbat Jaber R.C.	West Bank	2/6/2023	LIVE AMMUNITION	Israeli security forces
Male	2/3/2023	25	Adolescent	Palestinian	Huwarah	West Bank	2/3/2023	LIVE AMMUNITION	Israeli security forces
Male	1/30/2023	26	Adolescent	Palestinian	Hebron	West Bank	1/30/2023	LIVE AMMUNITION	Israeli security forces
Male	1/29/2023	18	Adolescent	Palestinian	KeduMaleiMale	West Bank	1/29/2023	LIVE AMMUNITION	Israeli civilians
Male	1/27/2023	21	Adolescent	Palestinian	Neve Ya'akov	West Bank	1/27/2023	LIVE AMMUNITION	Israeli security forces
Male	1/27/2023	68	Old	Israeli	Neve Ya'akov	West Bank	1/27/2023	LIVE AMMUNITION	Palestinian civilians
Female	1/27/2023	45	Adolescent	Israeli	Neve Ya'akov	West Bank	1/27/2023	LIVE AMMUNITION	Palestinian civilians
Male	1/27/2023	48	Adolescent	Israeli	Neve Ya'akov	West Bank	1/27/2023	LIVE AMMUNITION	Palestinian civilians
Male	1/27/2023	14	Children	Israeli	Neve Ya'akov	West Bank	1/27/2023	LIVE AMMUNITION	Palestinian civilians
Male	1/27/2023	56	Adolescent	Israeli	Neve Ya'akov	West Bank	1/27/2023	LIVE AMMUNITION	Palestinian civilians
Male	1/27/2023	24	Adolescent	Israeli	Neve Ya'akov	West Bank	1/27/2023	LIVE AMMUNITION	Palestinian civilians
Male	1/26/2023	36	Adolescent	Palestinian	Jenin R.C.	West Bank	1/26/2023	LIVE AMMUNITION	Israeli security forces
Male	1/26/2023	24	Adolescent	Palestinian	Jenin R.C.	West Bank	1/29/2023	LIVE AMMUNITION	Israeli security forces
Male	1/26/2023	16	Children	Palestinian	Jenin R.C.	West Bank	1/26/2023	LIVE AMMUNITION	Israeli security forces
Female	1/26/2023	60	Old	Palestinian	Jenin R.C.	West Bank	1/26/2023	LIVE AMMUNITION	Israeli security forces
Male	1/26/2023	34	Adolescent	Palestinian	Jenin R.C.	West Bank	1/26/2023	LIVE AMMUNITION	Israeli security forces
Male	1/26/2023	22	Adolescent	Palestinian	a-RaMale	West Bank	1/26/2023	LIVE AMMUNITION	Israeli security forces
Male	1/26/2023	25	Adolescent	Palestinian	Jenin R.C.	West Bank	1/26/2023	LIVE AMMUNITION	Israeli security forces
Male	1/26/2023	21	Adolescent	Palestinian	Jenin R.C.	West Bank	1/26/2023	LIVE AMMUNITION	Israeli security forces
Male	1/26/2023	17	Adolescent	Palestinian	Jenin R.C.	West Bank	1/26/2023	LIVE AMMUNITION	Israeli security forces
Male	1/25/2023	18	Adolescent	Palestinian	Anata new (Dahiyat a-SalaMale)	West Bank	1/25/2023	LIVE AMMUNITION	Israeli security forces
Male	1/25/2023	17	Adolescent	Palestinian	Silwan	West Bank	1/27/2023	LIVE AMMUNITION	Israeli security forces
Male	1/25/2023	20	Adolescent	Palestinian	KeduMaleiMale	West Bank	1/25/2023	LIVE AMMUNITION	Israeli security forces
Male	1/23/2023	14	Children	Palestinian	a-Duheisheh R.C.	West Bank	1/16/2023	LIVE AMMUNITION	Israeli security forces
